ID,Gender,Age,Edu,Inc,Emp,Monthly_Spend,Retail_Platform,Adv,Soc,Grat,Ide,Rol,Val,Eff,Ach,MAH_1,filter_$,Spend,Occupation
140,2.0,0,2.0,2.0,0,1.0,0.0,5.0,3.0,4.0,4.5,5.0,3.75,2.5,33.333.333.333.333.300,11.494.441.149.616.300,1.0,1.0,
11,2.0,2.0,2.0,2.0,1.0,2.0,0.0,33.333.333.333.333.300,4.5,4.333.333.333.333.330,5.0,3.75,3.75,4.0,3.0,11.500.907.058.400.700,1.0,2.0,3.0
209,2.0,1.0,2.0,2.0,1.0,1.0,0.0,33.333.333.333.333.300,3.5,4.333.333.333.333.330,2.0,4.75,5.0,4.0,4.666.666.666.666.660,1.157.414.069.607.660,1.0,1.0,3.0
69,1.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,3.5,1.0,2.0,2.5,2.5,3.5,36.666.666.666.666.600,11.577.658.046.892.900,1.0,2.0,3.0
159,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.75,13.333.333.333.333.300,1.0,3.25,1.25,2.5,4.333.333.333.333.330,11.701.211.251.228.500,1.0,1.0,3.0
153,2.0,2.0,1.0,1.0,1.0,2.0,0.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,36.666.666.666.666.600,11.784.407.128.531.000,1.0,2.0,3.0
229,2.0,1.0,2.0,2.0,1.0,2.0,0.0,5.0,2.5,36.666.666.666.666.600,3.5,2.75,3.25,3.5,3.0,11.818.623.937.997.100,1.0,2.0,2.0
166,2.0,1.0,1.0,2.0,0,2.0,0.0,3.0,4.5,5.0,3.0,5.0,4.0,5.0,5.0,11.844.942.126.444.300,1.0,2.0,0
35,2.0,1.0,2.0,1.0,1.0,2.0,0.0,36.666.666.666.666.600,1.75,3.0,1.0,3.5,3.0,4.0,33.333.333.333.333.300,11.870.947.109.050.100,1.0,2.0,2.0
227,1.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,5.0,23.333.333.333.333.300,3.0,5.0,4.0,5.0,5.0,1.200.052.746.284.270,1.0,1.0,3.0
184,2.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0,4.25,3.75,4.5,36.666.666.666.666.600,12.099.096.293.173.900,1.0,1.0,3.0
162,1.0,1.0,2.0,2.0,1.0,1.0,0.0,36.666.666.666.666.600,1.75,2.0,3.0,3.25,1.25,4.0,4.333.333.333.333.330,12.102.020.816.994.300,1.0,1.0,3.0
133,2.0,2.0,1.0,2.0,0,2.0,0.0,26.666.666.666.666.600,3.5,4.0,3.5,4.25,1.5,2.5,4.666.666.666.666.660,12.164.629.260.057.400,1.0,2.0,0
340,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.333.333.333.333.330,4.75,2.0,4.0,4.0,2.75,5.0,4.0,1.217.280.159.599.660,1.0,1.0,3.0
223,2.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,1.5,2.0,1.5,3.5,2.75,2.0,4.333.333.333.333.330,12.352.842.140.450.400,1.0,1.0,2.0
57,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.5,2.0,2.0,3.25,4.25,5.0,5.0,12.579.418.026.031.800,1.0,2.0,3.0
287,1.0,1.0,2.0,2.0,1.0,1.0,0.0,4.333.333.333.333.330,4.0,2.0,4.0,4.25,2.0,5.0,4.666.666.666.666.660,12.734.369.061.260.900,1.0,1.0,2.0
401,1.0,1.0,2.0,1.0,4.0,1.0,0.0,33.333.333.333.333.300,2.5,5.0,4.0,3.0,3.5,3.5,5.0,12.843.239.057.209.100,1.0,1.0,6.0
179,2.0,1.0,2.0,1.0,1.0,1.0,0.0,4.666.666.666.666.660,3.5,5.0,3.0,2.75,3.5,4.0,4.666.666.666.666.660,1.294.610.623.541.900,1.0,1.0,3.0
367,1.0,1.0,2.0,2.0,1.0,2.0,1.0,26.666.666.666.666.600,3.25,16.666.666.666.666.600,1.0,4.0,4.0,5.0,5.0,13.028.065.839.502.100,1.0,2.0,3.0
293,2.0,1.0,2.0,1.0,1.0,1.0,1.0,23.333.333.333.333.300,4.0,3.0,3.0,4.0,1.5,5.0,5.0,13.091.604.316.979.300,1.0,1.0,2.0
286,2.0,1.0,2.0,1.0,1.0,1.0,0.0,5.0,4.5,3.0,2.5,4.0,3.5,2.0,4.0,1.310.212.422.651.550,1.0,1.0,3.0
258,2.0,1.0,2.0,2.0,1.0,1.0,0.0,33.333.333.333.333.300,1.25,2.0,3.5,3.0,3.25,2.0,26.666.666.666.666.600,13.106.703.207.509.000,1.0,1.0,2.0
309,1.0,2.0,2.0,2.0,1.0,1.0,0.0,4.0,4.5,2.0,2.0,4.5,1.75,5.0,4.333.333.333.333.330,13.288.857.911.839.700,1.0,1.0,2.0
183,2.0,1.0,2.0,1.0,1.0,2.0,1.0,26.666.666.666.666.600,2.5,3.0,1.0,4.25,1.5,4.0,5.0,13.370.751.865.583.800,1.0,2.0,3.0
3,2.0,1.0,1.0,1.0,1.0,1.0,0.0,4.333.333.333.333.330,3.0,5.0,4.5,4.75,1.25,4.0,4.666.666.666.666.660,13.496.643.726.751.400,1.0,1.0,1.0
71,1.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,5.0,5.0,3.0,4.0,3.25,3.0,3.0,1.355.004.421.488.420,1.0,2.0,1.0
109,2.0,2.0,1.0,2.0,1.0,2.0,0.0,5.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,13.599.154.856.784.400,1.0,3.0,3.0
32,2.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,3.0,26.666.666.666.666.600,3.0,4.5,1.25,4.0,4.0,13.676.942.900.960.100,1.0,2.0,2.0
251,2.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,1.75,36.666.666.666.666.600,3.5,4.25,1.75,3.0,36.666.666.666.666.600,13.733.645.444.519.300,1.0,2.0,3.0
380,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.25,4.333.333.333.333.330,2.5,2.25,1.75,2.5,36.666.666.666.666.600,13.872.888.378.898.900,1.0,1.0,3.0
